id;owner_id;name;species;breed;age;gender;photo_url;avatar;created_at
1;24332;gleaming between cutlet;beneath adaptation;bah floss failing;4645;FEMALE;fragrant intensely and;devastation;2025-09-10T11:26:07
2;30340;gee and lucky;ouch defiantly role;birdbath supposing hm;28414;MALE;loose given rag;soap avaricious;2025-09-10T17:55:39
3;22562;embalm;though up;absentmindedly emerge broadside;30441;MALE;mmm enormously regularly;the nudge;2025-09-11T03:50:32
4;17004;phrase;judgementally;shell negative;12183;MALE;mobility if evenly;honesty royal;2025-09-11T05:27:05
5;26127;alongside;unaccountably;uh-huh distinct consequently;22491;FEMALE;while compete boohoo;so creak how;2025-09-10T22:29:03
6;17246;tusk alongside;orchid gradient huzzah;sans fragrant cleverly;25148;MALE;actually than recompense;usher;2025-09-10T23:37:32
7;24211;ethyl;apud old;sesame ah;12905;MALE;er blah;facilitate noisily finally;2025-09-10T17:35:17
8;3619;degrease magnificent daily;out quadruple;great yet valuable;29180;MALE;unnaturally;outside ugh crossly;2025-09-10T08:57:29
9;15913;equatorial;of provided;between another;26413;FEMALE;taxicab daily;upbeat neatly;2025-09-10T15:53:35
10;1088;gah glimmer;whoever under;early hence;20557;MALE;colon;putrid mythology overheard;2025-09-10T13:19:42
